city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country,continent
Richmond VA,451,3.2,4.0,4.0,3177.0,69.0,2.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,-32.8652,151.5012, Australia,oceania
Springfield IL,452,3.2,3.0,3.0,2901.0,56.0,3.0,34.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,39.7990175,-89.6439575, United States,north_america
Cape Coral FL,453,3.2,4.0,3.0,3271.0,39.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,26.6059432,-81.9806771, United States,north_america
Eugene OR,454,3.2,4.0,3.0,3025.0,43.0,3.0,23.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,44.0505054,-123.0950506, United States,north_america
Graz,455,3.2,4.0,3.0,2789.0,28.0,3.0,11.0,5.0,3.0,4.0,3738.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,47.0708678,15.4382786, Austria,europe
Cambridge,456,3.2,4.0,3.0,3307.0,26.0,2.0,31.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,52.2055314,0.1186637, United Kingdom,europe
Oklahoma City OK,457,3.2,3.0,3.0,2859.0,55.0,2.0,35.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,35.4729886,-97.5170536, United States,north_america
Ibadan,458,3.2,3.0,2.0,1303.0,4.0,2.0,35.0,3.0,4.0,2.0,181.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,7.3777462,3.8972497, Nigeria,africa
Lake Tahoe CA,459,3.2,3.0,3.0,5468.0,32.0,4.0,14.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,39.08854049999999,-120.05035277301698, United States,north_america
Makassar,460,3.2,3.0,2.0,721.0,8.0,3.0,14.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-5.1342962,119.4124282, Indonesia,asia
